Color,PPI,Backgrounds,Temperature(Kelvin),Mirror,Flip,Outcome
Orange,244.6,White,5500,TRUE,FALSE,failure
Orange,244.6,White,5500,FALSE,TRUE,failure
Orange,244.6,White,5500,FALSE,FALSE,failure
Orange,244.6,White,6500,TRUE,TRUE,failure
Orange,244.6,White,6500,TRUE,FALSE,failure
Orange,244.6,White,6500,FALSE,TRUE,failure
Orange,244.6,White,6500,FALSE,FALSE,failure
Orange,244.6,White,9000,TRUE,TRUE,failure
Orange,244.6,White,9000,TRUE,FALSE,success
Orange,244.6,White,9000,FALSE,TRUE,success
Orange,244.6,White,9000,FALSE,FALSE,failure
Orange,244.6,Striped,1000,TRUE,TRUE,success
Orange,244.6,Striped,1000,TRUE,FALSE,failure
Orange,244.6,Striped,1000,FALSE,TRUE,failure
Orange,244.6,Striped,1000,FALSE,FALSE,success
Orange,244.6,Striped,3000,TRUE,TRUE,failure
Orange,244.6,Striped,3000,TRUE,FALSE,failure
Orange,244.6,Striped,3000,FALSE,TRUE,failure
Orange,244.6,Striped,3000,FALSE,FALSE,failure
Orange,244.6,Striped,5500,TRUE,TRUE,failure
Orange,244.6,Striped,5500,TRUE,FALSE,failure
Orange,244.6,Striped,5500,FALSE,TRUE,failure
Orange,244.6,Striped,5500,FALSE,FALSE,failure
Orange,244.6,Striped,6500,TRUE,TRUE,failure
Orange,244.6,Striped,6500,TRUE,FALSE,failure
Orange,244.6,Striped,6500,FALSE,TRUE,failure
Orange,244.6,Striped,6500,FALSE,FALSE,failure
Orange,244.6,Striped,9000,TRUE,TRUE,failure
Orange,244.6,Striped,9000,TRUE,FALSE,success
Orange,244.6,Striped,9000,FALSE,TRUE,success
Orange,244.6,Striped,9000,FALSE,FALSE,failure
Orange,244.6,Absent,1000,TRUE,TRUE,success
Orange,244.6,Absent,1000,TRUE,FALSE,failure
Orange,244.6,Absent,1000,FALSE,TRUE,failure
Orange,244.6,Absent,1000,FALSE,FALSE,success
Orange,244.6,Absent,3000,TRUE,TRUE,success
Orange,244.6,Absent,3000,TRUE,FALSE,failure
Orange,244.6,Absent,3000,FALSE,TRUE,failure
Orange,244.6,Absent,3000,FALSE,FALSE,success
Orange,244.6,Absent,5500,TRUE,TRUE,success
Orange,244.6,Absent,5500,TRUE,FALSE,failure
Orange,244.6,Absent,5500,FALSE,TRUE,failure
Orange,244.6,Absent,5500,FALSE,FALSE,success
Orange,244.6,Absent,6500,TRUE,TRUE,success
Orange,244.6,Absent,6500,TRUE,FALSE,failure
Orange,244.6,Absent,6500,FALSE,TRUE,failure
Orange,244.6,Absent,6500,FALSE,FALSE,success
Orange,244.6,Absent,9000,TRUE,TRUE,success
Orange,244.6,Absent,9000,TRUE,FALSE,success
Orange,244.6,Absent,9000,FALSE,TRUE,success
Orange,244.6,Absent,9000,FALSE,FALSE,success
Orange,122.29,Black,1000,TRUE,TRUE,failure
Orange,122.29,Black,1000,TRUE,FALSE,failure
Orange,122.29,Black,1000,FALSE,TRUE,failure
Orange,122.29,Black,1000,FALSE,FALSE,failure
Orange,122.29,Black,3000,TRUE,TRUE,failure
Orange,122.29,Black,3000,TRUE,FALSE,failure
Orange,122.29,Black,3000,FALSE,TRUE,failure
Orange,122.29,Black,3000,FALSE,FALSE,failure
Orange,122.29,Black,5500,TRUE,TRUE,failure
Orange,122.29,Black,5500,TRUE,FALSE,failure
Orange,122.29,Black,5500,FALSE,TRUE,failure
Orange,122.29,Black,5500,FALSE,FALSE,failure
Orange,122.29,Black,6500,TRUE,TRUE,failure
Orange,122.29,Black,6500,TRUE,FALSE,failure
Orange,122.29,Black,6500,FALSE,TRUE,failure
